34.219.21.236 - - [06/Nov/2023:21:37:28 +0000] "POST /script/.env HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:28 +0000] "GET /.env.prod HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:29 +0000] "POST /.env.prod HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:29 +0000] "GET /enviroments/.env.production HTTP/1.1" 404 782
34.219.21.236 - - [06/Nov/2023:21:37:29 +0000] "POST /enviroments/.env.production HTTP/1.1" 404 782
34.219.21.236 - - [06/Nov/2023:21:37:29 +0000] "GET /.env.old HTTP/1.1" 404 759
34.219.21.236 - - [06/Nov/2023:21:37:30 +0000] "POST /.env.old HTTP/1.1" 404 759
34.219.21.236 - - [06/Nov/2023:21:37:30 +0000] "GET /laravel/.env HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:30 +0000] "POST /laravel/.env HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:31 +0000] "GET /system/.env HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:31 +0000] "POST /system/.env HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:31 +0000] "GET /admin-app/.env HTTP/1.1" 404 769
34.219.21.236 - - [06/Nov/2023:21:37:31 +0000] "POST /admin-app/.env HTTP/1.1" 404 769
34.219.21.236 - - [06/Nov/2023:21:37:32 +0000] "GET /apps/.env HTTP/1.1" 404 764
34.219.21.236 - - [06/Nov/2023:21:37:32 +0000] "POST /apps/.env HTTP/1.1" 404 764
34.219.21.236 - - [06/Nov/2023:21:37:32 +0000] "GET /.env.development HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:33 +0000] "POST /.env.development HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:33 +0000] "GET /frontend_dev.php/$ HTTP/1.1" 404 773
34.219.21.236 - - [06/Nov/2023:21:37:33 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 404 777
34.219.21.236 - - [06/Nov/2023:21:37:33 +0000] "GET /.json HTTP/1.1" 404 756
34.219.21.236 - - [06/Nov/2023:21:37:34 +0000] "GET /config.json HTTP/1.1" 404 762
34.219.21.236 - - [06/Nov/2023:21:37:34 +0000] "GET /php_info.php HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:34 +0000] "GET /testphpinfo.php HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:35 +0000] "GET /testphpinfo HTTP/1.1" 404 762
34.219.21.236 - - [06/Nov/2023:21:37:35 +0000] "GET /info/phpinfo.php HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:35 +0000] "GET /PHPConf.php HTTP/1.1" 404 762
34.219.21.236 - - [06/Nov/2023:21:37:35 +0000] "GET /php.php HTTP/1.1" 404 758
34.219.21.236 - - [06/Nov/2023:21:37:36 +0000] "GET /infophp.php HTTP/1.1" 404 762
